Date,Open,High,Low,Close,Adj Close,Volume
2016-01-15,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-19,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-20,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-21,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-22,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-25,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-26,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-27,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-28,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-01-29,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-02-01,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-02-02,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-02-03,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-02-04,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-02-05,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-02-08,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-02-09,7.590000,7.590000,7.590000,7.590000,7.590000,0
2016-02-10,7.860000,7.860000,7.860000,7.860000,7.860000,3300
2016-02-11,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-02-12,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-02-16,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-02-17,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-02-18,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-02-19,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-02-22,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-02-23,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-02-24,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-02-25,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-02-26,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-02-29,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-03-01,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-03-02,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-03-03,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-03-04,7.860000,7.860000,7.860000,7.860000,7.860000,0
2016-03-07,9.100000,9.100000,9.100000,9.100000,9.100000,200
2016-03-08,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-09,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-10,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-11,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-14,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-15,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-16,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-17,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-18,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-21,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-22,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-23,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-24,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-28,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-29,9.100000,9.100000,9.100000,9.100000,9.100000,0
2016-03-30,9.230000,9.230000,9.230000,9.230000,9.230000,700
2016-03-31,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-01,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-04,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-05,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-06,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-07,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-08,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-11,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-12,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-13,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-14,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-15,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-18,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-19,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-20,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-21,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-22,9.230000,9.230000,9.230000,9.230000,9.230000,0
2016-04-25,8.930000,8.930000,8.930000,8.930000,8.930000,5000
2016-04-26,8.930000,8.930000,8.930000,8.930000,8.930000,0
2016-04-27,8.930000,8.930000,8.930000,8.930000,8.930000,0
2016-04-28,8.930000,8.930000,8.930000,8.930000,8.930000,0
2016-04-29,8.860000,8.860000,8.860000,8.860000,8.860000,1000
2016-05-02,8.860000,8.860000,8.860000,8.860000,8.860000,0
2016-05-03,8.860000,8.860000,8.860000,8.860000,8.860000,0
2016-05-04,8.860000,8.860000,8.860000,8.860000,8.860000,0
2016-05-05,8.860000,8.860000,8.860000,8.860000,8.860000,0
2016-05-06,8.340000,8.340000,8.340000,8.340000,8.340000,200
2016-05-09,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-10,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-11,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-12,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-13,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-16,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-17,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-18,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-19,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-20,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-23,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-24,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-25,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-26,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-27,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-05-31,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-06-01,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-06-02,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-06-03,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-06-06,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-06-07,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-06-08,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-06-09,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-06-10,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-06-13,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-06-14,8.340000,8.340000,8.340000,8.340000,8.340000,0
2016-06-15,7.030000,7.030000,7.030000,7.030000,7.030000,200
2016-06-16,7.030000,7.030000,7.030000,7.030000,7.030000,0
2016-06-17,7.030000,7.030000,7.030000,7.030000,7.030000,0
